gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5006859214	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458136286/original.jpeg	https://www.inaturalist.org/photos/458136286					2021-08-21T20:33:21Z	jrossmunro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jrossmunro
5006859214	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458136691/original.jpeg	https://www.inaturalist.org/photos/458136691					2021-08-21T20:34:06Z	jrossmunro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jrossmunro
5006846625	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/386976768/original.jpg	https://www.inaturalist.org/photos/386976768					2020-02-29T20:28:38Z	Fen Levy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Fen Levy
5006846625	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/386976775/original.jpg	https://www.inaturalist.org/photos/386976775					2020-02-29T20:28:34Z	Fen Levy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Fen Levy
5006827388	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459960630/original.jpg	https://www.inaturalist.org/photos/459960630					2024-08-11T23:06:25Z	pbulman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pbulman
5006827388	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459960635/original.jpg	https://www.inaturalist.org/photos/459960635					2024-08-11T23:06:33Z	pbulman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pbulman
5006799662	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/41002805/original.jpg	https://www.inaturalist.org/photos/41002805					2019-06-04T02:17:24Z	Robb Hannawacker		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Robb Hannawacker
5006793468	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/400770097/original.jpeg	https://www.inaturalist.org/photos/400770097					2024-06-23T21:42:38Z	Brian Ahern		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian Ahern
5006793468	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/400770100/original.jpeg	https://www.inaturalist.org/photos/400770100					2024-06-23T21:42:33Z	Brian Ahern		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian Ahern
5006793468	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/400770140/original.jpeg	https://www.inaturalist.org/photos/400770140					2024-06-23T21:43:19Z	Brian Ahern		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian Ahern
5006793468	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/400770141/original.jpeg	https://www.inaturalist.org/photos/400770141					2024-06-23T21:43:17Z	Brian Ahern		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brian Ahern
5006775067	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461027973/original.jpg	https://www.inaturalist.org/photos/461027973					2024-08-27T16:49:00Z	zoltanap		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	zoltanap
5006721057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/402217958/original.jpg	https://www.inaturalist.org/photos/402217958					2024-07-02T16:43:50Z	lophozia17		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lophozia17
5006721057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/402217989/original.jpg	https://www.inaturalist.org/photos/402217989					2024-07-02T16:43:50Z	lophozia17		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lophozia17
5006721057	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/402218015/original.jpg	https://www.inaturalist.org/photos/402218015					2024-07-02T16:43:50Z	lophozia17		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lophozia17
4994618968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454792612/original.jpeg	https://www.inaturalist.org/photos/454792612					2024-11-30T22:54:04Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
4994558506	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/453624474/original.jpeg	https://www.inaturalist.org/photos/453624474					2021-01-13T07:15:42Z	jyhmml		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jyhmml
4994507353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/430898173/original.jpeg	https://www.inaturalist.org/photos/430898173					2024-08-22T23:45:22Z	Jeremy Collison		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeremy Collison
4994507353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/430898174/original.jpeg	https://www.inaturalist.org/photos/430898174					2024-08-22T23:45:22Z	Jeremy Collison		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeremy Collison
